Y,X,Pop01_percent,Pop02_percent,Pop03_percent,Pop04_percent,Pop05_percent,Pop06_percent,Pop07_percent,Pop08_percent,Pop09_percent,Pop10_percent
-19.9113067,-44.0166911,0.15474437 ,0.62096634 ,0.19570306 ,0.02642373 ,0.00205167 ,0.00011005 ,0.00000078 ,0.00000000 ,0.00000000 ,0.00000000 
-20.89304,-45.2725486,0.01611449 ,0.81873962 ,0.16514588 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-20.6693334,-43.7856071,0.11881356 ,0.78164746 ,0.09755254 ,0.00198644 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-20.1480013,-44.8887782,0.18580648 ,0.64406577 ,0.16789435 ,0.00223340 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-18.8743414,-41.9664846,0.00995351 ,0.63788089 ,0.31169196 ,0.03677572 ,0.00369792 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-19.4596641,-42.5509755,0.01393616 ,0.69893930 ,0.28415411 ,0.00297044 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-20.079012,-44.5822714,0.23517637 ,0.75658146 ,0.00824216 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-18.981529,-49.4603996,0.06074905 ,0.79935382 ,0.13989712 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-15.478727,-44.3713425,0.00814655 ,0.74495690 ,0.24689655 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-21.7484191,-43.366925,0.07651153 ,0.58387586 ,0.30565817 ,0.03395444 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-20.0243269,-45.5387257,0.58246745 ,0.39571663 ,0.02181592 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-21.2411159,-44.9989714,0.04206695 ,0.65157232 ,0.29477612 ,0.01158462 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-16.7246347,-43.8792457,0.04868998 ,0.68126874 ,0.24514013 ,0.02149033 ,0.00341082 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-19.87183,-44.9886636,0.18667751 ,0.80414120 ,0.00918129 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-17.2232416,-46.8713947,0.30271844 ,0.62950257 ,0.06627164 ,0.00150735 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-20.7257633,-46.6103735,0.51752685 ,0.46072650 ,0.02174665 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-18.5951315,-46.5101065,0.28314783 ,0.65632663 ,0.06052555 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-17.3533601,-44.9468168,0.08292465 ,0.73469064 ,0.16662208 ,0.01441522 ,0.00134740 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-21.7951646,-46.5498488,0.08952650 ,0.84743749 ,0.06303601 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-22.2483122,-45.9265651,0.49087201 ,0.48942719 ,0.01970080 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-19.7609932,-44.0773107,0.00071410 ,0.29103702 ,0.64644789 ,0.06180100 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-16.1636395,-42.2951545,0.01773405 ,0.77011527 ,0.21215068 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
