ID,Lon,Lat,Canopy_cover,Treecover_Gini
249,-41.9528738,-22.5306615,0.156052,0.227623
250,-43.2925413,-22.8290711,0.234515,0.249726
251,-44.0938841,-22.5164878,0.224671,0.231634
252,-36.9248597,-5.5793436,0.11627,0.228056
253,-37.0906524,-6.4560466,0.109248,0.205139
254,-36.5215547,-6.2597546,0.110926,0.129127
255,-37.3385449,-5.1890751,0.097438,0.238746
256,-35.2446042,-5.8463989,0.199142,0.232381
257,-61.9957356,-11.9295177,0.15273,0.159546
258,-63.0363925,-9.9095754,0.094983,0.252161
259,-61.4513142,-11.4368576,0.198778,0.271438
260,-61.0167293,-11.5329593,0.202272,0.18314
261,-65.3216721,-10.7742204,0.153418,0.128209
262,-62.4749444,-10.4328704,0.127498,0.186002
263,-61.9392778,-10.8764034,0.158179,0.185123
264,-61.9982274,-9.4233111,0.244786,0.163188
265,-62.2591339,-10.71941,0.124097,0.206936
266,-61.178083,-11.684591,0.139597,0.121912
267,-63.8559119,-8.7684484,0.159803,0.258023
268,-61.9062035,-11.1729796,0.165872,0.163702
269,-61.7821513,-11.7212507,0.186862,0.202673
270,-60.1266651,-12.726852,0.092863,0.201003
271,-60.7121806,2.8081173,0.167327,0.253859
272,-55.7806094,-29.7926051,0.222209,0.200689
273,-54.1036816,-31.3243814,0.203041,0.158265
274,-51.5117531,-29.1653559,0.270241,0.228876
275,-51.1781614,-29.9231153,0.223272,0.186174
276,-52.7935606,-28.299681,0.240021,0.166302
277,-51.1734635,-29.156149,0.201728,0.188676
278,-53.5996677,-28.6393723,0.242964,0.150641
279,-52.272457,-27.640703,0.228494,0.227415
280,-51.3392092,-29.2249954,0.219055,0.228219
281,-53.3918582,-27.3587371,0.16978,0.180346
282,-51.0302818,-29.9321671,0.231752,0.201529
283,-51.3413523,-30.1211149,0.194929,0.339636
284,-51.9731064,-29.4717115,0.260232,0.208211
285,-53.9135666,-28.3892446,0.270389,0.144716
286,-51.120725,-29.6773542,0.296178,0.200834
287,-53.3071835,-27.9020281,0.235648,0.125336
288,-52.4072756,-28.2566068,0.168458,0.219115
289,-52.340966,-31.7298705,0.150211,0.2036
290,-51.1274007,-30.0825339,0.284944,0.204473
291,-52.1457039,-32.0628544,0.106588,0.182829
292,-55.525424,-30.8774335,0.192167,0.159028
293,-52.4266653,-29.7316745,0.246806,0.225196
294,-53.7828304,-29.7034629,0.215615,0.195316
295,-54.4606219,-27.8665863,0.277306,0.21153
296,-54.2545961,-28.2965642,0.237545,0.163063
297,-56.0105471,-28.6491614,0.264576,0.148354
298,-51.1510962,-29.7469625,0.241521,0.21856
299,-50.9941269,-29.639773,0.291726,0.192334
300,-51.1524577,-29.8370339,0.225552,0.136977
301,-56.5486224,-29.1388118,0.213686,0.13566
302,-52.1924494,-29.6151978,0.18957,0.142217
303,-49.486232,-28.9438417,0.134082,0.319433
304,-49.4094376,-28.9807879,0.050746,0.139053
305,-48.6483836,-27.0106776,0.13095,0.276452
306,-48.6928238,-26.6444971,0.14058,0.20453
307,-49.1568004,-28.2765912,0.162764,0.180443
308,-51.0051294,-26.7828655,0.175827,0.21473
309,-51.2225868,-27.3982605,0.122392,0.159865
310,-50.3869982,-26.1719064,0.158237,0.197973
311,-52.64688,-27.0986639,0.167609,0.202646
312,-52.0283546,-27.2303859,0.262754,0.203208
313,-49.3607967,-28.6870832,0.179853,0.220696
314,-50.5790551,-27.2890568,0.053318,0.273977
315,-48.5475875,-27.5926171,0.229721,0.239461
316,-48.6731417,-26.8979486,0.108821,0.251173
317,-48.6024821,-27.1258697,0.129784,0.255379
318,-48.610404,-26.0763741,0.264473,0.182535
319,-49.0995862,-26.4933211,0.15842,0.206161
320,-51.504377,-27.1731951,0.302046,0.1885
321,-50.3280848,-27.8120097,0.114333,0.215206
322,-51.0787681,-26.2434003,0.193764,0.187116
323,-49.5173348,-26.2485493,0.233058,0.279227
324,-49.8020862,-26.1140434,0.24597,0.237685
325,-49.3787786,-26.2433358,0.220664,0.213123
326,-48.6546962,-27.5806027,0.207194,0.246077
327,-53.5195635,-26.7348523,0.226028,0.22619
328,-49.6334182,-29.1081721,0.151478,0.140182
329,-49.7316729,-29.3354709,0.095358,0.143444
330,-48.9817111,-28.4590332,0.15439,0.183942
331,-51.1499418,-27.0057339,0.224841,0.266645
332,-52.4018361,-26.8738482,0.184989,0.155316
333,-37.075624,-10.9191805,0.121754,0.254948
334,-37.4303247,-10.6924747,0.090469,0.233409
335,-37.6684915,-10.9203507,0.086217,0.168408
336,-37.4202986,-10.2116184,0.082445,0.176819
337,-51.0741775,-21.6852541,0.191493,0.155805
338,-48.9815073,-22.4677675,0.136213,0.290911
339,-47.3137754,-22.736596,0.171145,0.222694
340,-46.7833163,-22.7097466,0.205821,0.184687
341,-51.3757811,-20.8976252,0.169329,0.205778
342,-50.4405163,-21.1971313,0.16978,0.234253
343,-48.1560226,-21.7756199,0.172824,0.251364
344,-47.365015,-22.3556481,0.151043,0.280441
345,-47.1650456,-22.5627784,0.14281,0.170125
346,-50.4189809,-22.6594805,0.134396,0.153272
347,-46.5611409,-23.1307213,0.24819,0.261112
348,-48.9182554,-23.1034152,0.133258,0.229966
349,-48.7395157,-22.0789192,0.127251,0.188247
350,-48.5595421,-22.4923655,0.136456,0.254781
351,-48.5641368,-20.5567139,0.130169,0.198433
352,-47.5818367,-20.894277,0.110476,0.267923
353,-49.0655194,-22.3208772,0.165397,0.251306
354,-48.479733,-20.9409927,0.110692,0.198199
355,-50.3430422,-21.2786688,0.151014,0.204753
356,-47.6704247,-23.276943,0.199611,0.221273
357,-48.4486355,-22.893301,0.134582,0.289796
358,-46.5384172,-22.9508191,0.145445,0.244333
359,-45.7016082,-23.1073076,0.13931,0.178762
360,-46.736239,-23.3721314,0.195978,0.197286
361,-47.0917768,-22.9143445,0.177977,0.233718
362,-50.3858583,-22.7481372,0.182921,0.143032
363,-48.3432005,-23.9975142,0.126828,0.221327
364,-47.5040299,-22.9983367,0.231912,0.177999
365,-48.9795519,-21.1374537,0.134696,0.210441
366,-47.7459075,-23.1677539,0.125326,0.226925
367,-47.1869351,-22.6368675,0.135434,0.227261
368,-44.9552836,-22.5721327,0.154474,0.148879
369,-47.6157399,-21.9119727,0.156404,0.264637
370,-51.5375988,-21.4903514,0.159301,0.177707
371,-46.75923,-22.1914061,0.164498,0.244606
372,-50.2533813,-20.2787365,0.146485,0.189037
373,-47.4017961,-20.5319748,0.133998,0.298593
374,-46.7283542,-23.2964249,0.306101,0.1755
375,-49.660825,-22.2105576,0.143798,0.18536
376,-48.3162282,-20.3224842,0.160154,0.263538
377,-45.1735282,-22.7906505,0.171976,0.221284
